input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,clean,0.5343187609658001,5.203308139015109e-18,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,split,0.0151845693458354,0.8020653378695982,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,clean,0.5755713898938393,3.0057541905240864e-21,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,split,0.4102867559860348,1.3672116363561317e-12,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,clean,0.5739180793387026,4.13612411893853e-21,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,split,0.2269173240561047,0.0001473543095609,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,clean,0.5733914029214254,4.577144876939152e-21,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,split,0.3001076857140047,3.94832502563489e-07,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,clean,0.5764639456240198,2.528025305131968e-21,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,split,0.1396142518372349,0.0205555915186786,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,clean,0.5026243336846447,8.311301350444276e-16,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,split,0.3009499019477249,3.649982408586217e-07,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,clean,0.4931309780831314,3.4380866386520493e-15,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,split,0.2635945200818923,9.42751971756365e-06,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,clean,0.5152081569118628,1.1808857925677043e-16,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,split,0.3065661284355972,2.147719105226851e-07,275,500,0.55,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,clean,0.4971108382172917,1.906016886313218e-15,225,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,split,0.1179808203060747,0.0506527775603615,275,500,0.55,2
contextual,mBERT,bert-base-multilingual-cased,1,first,clean,-0.2657342657342658,0.4038330883147116,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,1,first,split,0.1002544681359854,0.0267878020842115,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,1,last,clean,-0.0769230769230769,0.8121826980280591,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,1,last,split,-0.0115394002641116,0.7992881924687415,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,1,mean,clean,-0.2377622377622378,0.4568008526399232,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,1,mean,split,-0.0285909155158286,0.5286271542189644,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,1,max,clean,-0.1818181818181818,0.5717012385276553,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,1,max,split,-0.1275255121940592,0.0047809466465728,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,7,first,clean,0.0,1.0,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,7,first,split,0.2288331023075566,3.220146045544336e-07,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,7,last,clean,0.0349650349650349,0.9140933424107598,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,7,last,split,0.2431864714190524,5.3200209294510064e-08,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,7,mean,clean,0.0,1.0,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,7,mean,split,0.1880106979596024,2.915424083025049e-05,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,7,max,clean,0.0349650349650349,0.9140933424107598,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,7,max,split,0.0519147196427533,0.2523481279257013,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,12,first,clean,-0.3566433566433566,0.2551377517589572,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,12,first,split,0.1738746323357967,0.0001131036823184,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,12,last,clean,-0.3496503496503497,0.2652387868927897,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,12,last,split,0.173407147658562,0.0001180834626239,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,12,mean,clean,-0.3076923076923077,0.3305892594121097,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,12,mean,split,0.1208469377653838,0.0075276936630039,488,500,0.976,1
contextual,mBERT,bert-base-multilingual-cased,12,max,clean,-0.3496503496503497,0.2652387868927897,12,500,0.024,2
contextual,mBERT,bert-base-multilingual-cased,12,max,split,-0.0204610105978889,0.6520713158887583,488,500,0.976,1
contextual,XLM-R,xlm-roberta-base,1,first,clean,0.1771964142825728,0.0892846475238514,93,500,0.186,1
contextual,XLM-R,xlm-roberta-base,1,first,split,0.0849118692343877,0.0871079057660403,407,500,0.814,2
contextual,XLM-R,xlm-roberta-base,1,last,clean,0.0909681410700415,0.3858323628923495,93,500,0.186,1
