input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
isolated,XLM-R,xlm-roberta-base,12,max,clean,0.13176832643878256,0.20801610360768244,93.0,500,0.186,2
isolated,XLM-R,xlm-roberta-base,1,first,one_word_split,0.017114408701115188,0.8156736725230267,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,1,last,one_word_split,-0.0125787367543642,0.8639662941550408,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,1,mean,one_word_split,-0.039639524020835565,0.5891299670112664,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,1,max,one_word_split,0.024805646096625365,0.7354374030201922,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,7,first,one_word_split,0.008239834262320321,0.9106431667197505,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,7,last,one_word_split,-0.025360590365200258,0.7297460555743777,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,7,mean,one_word_split,-0.025717858407387356,0.7260897935507319,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,7,max,one_word_split,0.004180217447925243,0.9545975800307717,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,12,first,one_word_split,0.009998971322835499,0.8916726398286163,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,12,last,one_word_split,0.07582606148164958,0.30102848649536856,188.0,500,0.376,2
isolated,XLM-R,xlm-roberta-base,12,mean,one_word_split,0.030081243734809537,0.6819561913137004,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,12,max,one_word_split,0.06648812671402829,0.36463801980457655,188.0,500,0.376,3
isolated,XLM-R,xlm-roberta-base,1,first,both_words_split,0.1624484138345943,0.016116597803758057,219.0,500,0.438,1
isolated,XLM-R,xlm-roberta-base,1,last,both_words_split,0.07165493638638468,0.2911119652608615,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,1,mean,both_words_split,0.07246669369589226,0.2856665400414277,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,1,max,both_words_split,0.03430549494787531,0.6136162233146183,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,7,first,both_words_split,0.038146283066004795,0.5744654161173296,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,7,last,both_words_split,0.057834983322047215,0.39438354895829864,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,7,mean,both_words_split,0.039608019903195825,0.5598800944311204,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,7,max,both_words_split,0.06665531451192636,0.32617081776803314,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,12,first,both_words_split,0.08282506117325537,0.22216812681956155,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,12,last,both_words_split,0.036058661264380724,0.5956001410069767,219.0,500,0.438,3
isolated,XLM-R,xlm-roberta-base,12,mean,both_words_split,0.12332056415617432,0.06853200773793953,219.0,500,0.438,2
isolated,XLM-R,xlm-roberta-base,12,max,both_words_split,0.14983433629293166,0.026610270261802568,219.0,500,0.438,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,first,clean,0.5388627289743213,2.4048217618346056e-18,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,last,clean,0.5341922320967846,5.315464154462694e-18,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,clean,0.5305887953479456,9.720391508998277e-18,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,clean,0.5343187609658001,5.2033081390151085e-18,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,clean,0.5755713898938393,3.0057541905240864e-21,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,clean,0.5739180793387026,4.13612411893853e-21,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,clean,0.5733914029214254,4.577144876939152e-21,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,clean,0.5764639456240198,2.5280253051319675e-21,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,clean,0.5026243336846447,8.311301350444276e-16,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,clean,0.49313097808313144,3.4380866386520493e-15,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,clean,0.5152081569118628,1.1808857925677043e-16,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,clean,0.4971108382172917,1.9060168863132175e-15,225.0,500,0.45,1
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,first,one_word_split,0.3717675081819699,5.98894088377164e-07,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,last,one_word_split,0.17498202114961808,0.022472148275502864,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,one_word_split,0.3972970620990107,8.123607693890947e-08,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,one_word_split,0.2641605492804604,0.0004998063895128895,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,one_word_split,0.4936493874899537,7.914458930970101e-12,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,one_word_split,0.3560095431496094,1.8923704686413722e-06,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,one_word_split,0.4754882496460451,5.6649191973805715e-11,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,one_word_split,0.35355094092928646,2.2520840564344735e-06,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,one_word_split,0.3891119860699295,1.5702287908362963e-07,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,last,one_word_split,0.40217731360047343,5.437296445931513e-08,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,one_word_split,0.4877898831001359,1.5125615811634628e-11,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,max,one_word_split,0.31737770876284155,2.4744342415455665e-05,170.0,500,0.34,2
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,first,both_words_split,0.20199577749522662,0.03878921912940453,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,last,both_words_split,-0.01034411959844096,0.9165903293325826,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,both_words_split,-0.013518062118266389,0.8911359075548333,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,max,both_words_split,-0.03908244073091972,0.6922280448201957,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,first,both_words_split,0.318646021392177,0.0009234614561162774,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,last,both_words_split,0.06826071429188912,0.4890008183496447,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,both_words_split,0.17786124427516792,0.06948994761859324,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,7,max,both_words_split,0.15504656834058114,0.11426662606071353,105.0,500,0.21,3
contextual,BERTurk,dbmdz/bert-base-turkish-cased,12,first,both_words_split,0.14537808997160798,0.1389471086850267,105.0,500,0.21,3
