input_condition,model,model_name,layer,pooling,spearman_rho_full_canonical,p_value_full_canonical,n_pairs_full_canonical,total_n_pairs,clean_pairs,split_pairs,one_word_split_pairs,both_words_split_pairs,clean_pair_percentage,split_pair_percentage,one_word_split_percentage,both_words_split_percentage,mean_pair_total_subtoken_count,median_pair_total_subtoken_count,mean_pair_max_subtoken_count,mean_pair_avg_subtoken_char_length,full_n_pairs,full_spearman_rho,full_p_value,clean_n_pairs,clean_spearman_rho,clean_p_value,split_n_pairs,split_spearman_rho,split_p_value,one_word_split_n_pairs,one_word_split_spearman_rho,one_word_split_p_value,both_words_split_n_pairs,both_words_split_spearman_rho,both_words_split_p_value,isolated_spearman_rho_same_config,contextual_spearman_rho_same_config,contextual_minus_isolated,mean_word1_context_sentence_count,mean_word2_context_sentence_count,rank_within_input_condition,rank_within_model_and_input,is_best_global,is_best_within_input_condition,is_best_within_model_and_input
isolated,XLM-R,xlm-roberta-base,1,last,0.0973481776176821,0.0295182747930536,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.09734817761768215,0.029518274793053616,93,0.1407479501121443,0.17840704524357737,407,0.030891639494906507,0.5343055893300379,188,-0.0125787367543642,0.8639662941550408,219,0.07165493638638468,0.2911119652608615,0.0973481776176821,0.0901979503547008,-0.0071502272629812985,,,20,5,False,False,False
isolated,XLM-R,xlm-roberta-base,1,mean,-0.0629522351224439,0.1598649400948334,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,-0.0629522351224439,0.15986494009483346,93,0.1407479501121443,0.17840704524357737,407,-0.016912146690479968,0.733732507893641,188,-0.039639524020835565,0.5891299670112664,219,0.07246669369589226,0.2856665400414277,-0.0629522351224439,-0.0485178350625061,0.014434400059937798,,,35,12,False,False,False
isolated,XLM-R,xlm-roberta-base,1,max,-0.0314493332674177,0.4829024870648316,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,-0.03144933326741773,0.48290248706483163,93,0.1407479501121443,0.17840704524357737,407,-0.048857729616513614,0.32549751160764284,188,0.024805646096625365,0.7354374030201922,219,0.03430549494787531,0.6136162233146183,-0.0314493332674177,-0.0886119254962452,-0.057162592228827504,,,33,10,False,False,False
isolated,XLM-R,xlm-roberta-base,7,first,0.0595745263086316,0.1835267610999713,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.059574526308631616,0.18352676109997132,93,0.1537807206305896,0.1410965363324623,407,0.012332013749954391,0.8041086623700942,188,0.008239834262320321,0.9106431667197505,219,0.038146283066004795,0.5744654161173296,0.0595745263086316,0.2478031363765112,0.18822861006787958,,,25,7,False,False,False
isolated,XLM-R,xlm-roberta-base,7,last,0.0675863270547924,0.1312426325143285,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.06758632705479246,0.1312426325143285,93,0.1537807206305896,0.1410965363324623,407,0.020210678700513195,0.684358656069339,188,-0.025360590365200258,0.7297460555743777,219,0.057834983322047215,0.39438354895829864,0.0675863270547924,0.1898227688807879,0.1222364418259955,,,24,6,False,False,False
isolated,XLM-R,xlm-roberta-base,7,mean,-0.0527572617492219,0.2389737391248284,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,-0.052757261749221906,0.23897373912482844,93,0.1537807206305896,0.1410965363324623,407,-0.020613636048290702,0.6784131577207668,188,-0.025717858407387356,0.7260897935507319,219,0.039608019903195825,0.5598800944311204,-0.0527572617492219,0.061881296539447,0.1146385582886689,,,34,11,False,False,False
isolated,XLM-R,xlm-roberta-base,7,max,0.0230310754481631,0.6074130181910558,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.023031075448163164,0.6074130181910558,93,0.1537807206305896,0.1410965363324623,407,-0.016848352556042466,0.7346990954880273,188,0.004180217447925243,0.9545975800307717,219,0.06665531451192636,0.32617081776803314,0.0230310754481631,0.0868838211493618,0.0638527457011987,,,28,8,False,False,False
isolated,XLM-R,xlm-roberta-base,12,first,0.1153344686284987,0.0098480108130686,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.1153344686284987,0.00984801081306862,93,0.13176832643878256,0.20801610360768244,407,0.06333292250197554,0.2022935640898112,188,0.009998971322835499,0.8916726398286163,219,0.08282506117325537,0.22216812681956155,0.1153344686284987,0.180605554588667,0.06527108596016831,,,17,2,False,False,False
isolated,XLM-R,xlm-roberta-base,12,last,0.0976150098276563,0.029073439718377,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.09761500982765631,0.029073439718377093,93,0.13176832643878256,0.20801610360768244,407,0.04966829038348424,0.3175257760716596,188,0.07582606148164958,0.30102848649536856,219,0.036058661264380724,0.5956001410069767,0.0976150098276563,0.1419325478186538,0.04431753799099751,,,19,4,False,False,False
isolated,XLM-R,xlm-roberta-base,12,mean,0.0140730407106438,0.7535888715310721,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.014073040710643811,0.7535888715310721,93,0.13176832643878256,0.20801610360768244,407,0.039568713948733555,0.4259591288046294,188,0.030081243734809537,0.6819561913137004,219,0.12332056415617432,0.06853200773793953,0.0140730407106438,0.1141037387509285,0.1000306980402847,,,29,9,False,False,False
isolated,XLM-R,xlm-roberta-base,12,max,0.1077898167694246,0.0158979502639068,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.10778981676942462,0.015897950263906883,93,0.13176832643878256,0.20801610360768244,407,0.061601546119440624,0.21493093061255816,188,0.06648812671402829,0.36463801980457655,219,0.14983433629293166,0.026610270261802568,0.1077898167694246,0.1414897045351091,0.033699887765684486,,,18,3,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,first,0.4554684322329078,5.6082685503002985e-27,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.4554684322329078,5.6082685503002985e-27,225,0.5388627289743213,2.4048217618346056e-18,275,0.30252720660053495,3.148442449510253e-07,170,0.3717675081819699,5.98894088377164e-07,105,0.20199577749522662,0.03878921912940453,0.4266940148626279,0.4554684322329078,0.02877441737027986,14.794,14.742,2,2,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,last,0.3294359364327293,4.0298314011551805e-14,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3294359364327293,4.0298314011551805e-14,225,0.5341922320967846,5.315464154462694e-18,275,0.08422220401058336,0.16368596377622202,170,0.17498202114961808,0.022472148275502864,105,-0.01034411959844096,0.9165903293325826,0.3339487891268157,0.3294359364327293,-0.004512852694086411,14.794,14.742,10,10,False,False,False
contextual,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,0.2990296745315741,8.695900446012374e-12,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.2990296745315741,8.695900446012374e-12,225,0.5305887953479456,9.720391508998277e-18,275,0.144083136527223,0.01680466450107686,170,0.3972970620990107,8.123607693890947e-08,105,-0.013518062118266389,0.8911359075548333,0.3252259652497119,0.2990296745315741,-0.026196290718137838,14.794,14.742,11,11,False,False,False
